Year,Sport,Event,Bronze,Silver,Gold
1896,Athletics,"Athletics Men's 1,500 metres",France,USA,Australia
1896,Athletics,Athletics Men's 100 metres,Hungary,Germany,USA
1896,Athletics,Athletics Men's 110 metres Hurdles,Data Missing,UK,USA
1896,Athletics,Athletics Men's 400 metres,UK,USA,USA
1896,Athletics,Athletics Men's 800 metres,Greece,Hungary,Australia
1896,Athletics,Athletics Men's Discus Throw,Greece,Greece,USA
1896,Athletics,Athletics Men's High Jump,Data Missing,USA,USA
1896,Athletics,Athletics Men's Long Jump,USA,USA,USA
1896,Athletics,Athletics Men's Marathon,Hungary,Greece,Greece
1896,Athletics,Athletics Men's Pole Vault,Greece,USA,USA
1896,Athletics,Athletics Men's Shot Put,Greece,Greece,USA
1896,Athletics,Athletics Men's Triple Jump,Greece,France,USA
1896,Cycling,"Cycling Men's 10,000 metres",Austria,France,France
1896,Cycling,Cycling Men's 100 kilometres,Data Missing,Greece,France
1896,Cycling,Cycling Men's 12-Hours Race,Data Missing,UK,Austria
1896,Cycling,Cycling Men's 333 metres Time Trial,Austria,Greece,France
1896,Cycling,"Cycling Men's Road Race, Individual",UK,Germany,Greece
1896,Cycling,Cycling Men's Sprint,France,Greece,France
1896,Fencing,"Fencing Men's Foil, Individual",Greece,France,France
1896,Fencing,"Fencing Men's Foil, Masters, Individual",Data Missing,France,Greece
1896,Fencing,"Fencing Men's Sabre, Individual",Denmark,Greece,Greece
1896,Gymnastics,Gymnastics Men's Horizontal Bar,Data Missing,Germany,Germany
1896,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Data Missing,Data Missing,Germany
1896,Gymnastics,Gymnastics Men's Horse Vault,Germany,Switzerland,Germany
1896,Gymnastics,Gymnastics Men's Parallel Bars,Data Missing,Switzerland,Germany
1896,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Greece,Data Missing,Germany
1896,Gymnastics,Gymnastics Men's Pommelled Horse,Data Missing,Germany,Switzerland
1896,Gymnastics,Gymnastics Men's Rings,Greece,Germany,Greece
1896,Gymnastics,Gymnastics Men's Rope Climbing,Germany,Greece,Greece
1896,Shooting,"Shooting Men's Free Pistol, 30 metres",Greece,Denmark,USA
1896,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Denmark,Greece,Greece
1896,Shooting,"Shooting Men's Military Pistol, 25 metres",Greece,USA,USA
1896,Shooting,"Shooting Men's Military Rifle, 200 metres",Greece,Greece,Greece
1896,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Denmark,Greece,Greece
1896,Swimming,"Swimming Men's 1,200 metres Freestyle",Data Missing,Greece,Hungary
1896,Swimming,Swimming Men's 100 metres Freestyle,Data Missing,Austria,Hungary
1896,Swimming,Swimming Men's 100 metres Freestyle For Sailors,Greece,Greece,Greece
1896,Swimming,Swimming Men's 500 metres Freestyle,Greece,Greece,Austria
1896,Tennis,Tennis Men's Doubles,Australia,Greece,UK
1896,Tennis,Tennis Men's Singles,Greece,Greece,UK
1896,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Greece,Denmark,UK
1896,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Greece,UK,Denmark
1896,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman",Greece,Greece,Germany
1900,Archery,"Archery Men's Au Chapelet, 33 metres",France,France,Belgium
1900,Archery,"Archery Men's Au Chapelet, 50 metres",France,France,France
1900,Archery,"Archery Men's Au Cordon Dore, 33 metres",France,France,Belgium
1900,Archery,"Archery Men's Au Cordon Dore, 50 metres",France,Belgium,France
1900,Archery,Archery Men's Championnat Du Monde,Data Missing,Belgium,France
1900,Archery,Archery Men's Sur La Perche a La Herse,Data Missing,Belgium,Belgium
1900,Archery,Archery Men's Sur La Perche a La Pyramide,Belgium,France,France
1900,Athletics,"Athletics Men's 1,500 metres",USA,France,UK
1900,Athletics,Athletics Men's 100 metres,Australia,USA,USA
1900,Athletics,Athletics Men's 110 metres Hurdles,USA,USA,USA
1900,Athletics,"Athletics Men's 2,500 metres Steeplechase",France,UK,Canada
1900,Athletics,Athletics Men's 200 metres,Australia,India,USA
1900,Athletics,Athletics Men's 200 metres Hurdles,USA,India,USA
1900,Athletics,"Athletics Men's 4,000 metres Steeplechase",UK,UK,UK
1900,Athletics,Athletics Men's 400 metres,Denmark,USA,USA
1900,Athletics,Athletics Men's 400 metres Hurdles,Canada,France,USA
1900,Athletics,"Athletics Men's 5,000 metres, Team",Data Missing,France,Australia
1900,Athletics,Athletics Men's 60 metres,Australia,USA,USA
1900,Athletics,Athletics Men's 800 metres,USA,USA,UK
1900,Athletics,Athletics Men's Discus Throw,USA,Czech Republic,Hungary
1900,Athletics,Athletics Men's Hammer Throw,USA,USA,USA
1900,Athletics,Athletics Men's High Jump,Hungary,UK,USA
1900,Athletics,Athletics Men's Long Jump,UK,USA,USA
1900,Athletics,Athletics Men's Marathon,Sweden,France,Luxembourg
1900,Athletics,Athletics Men's Pole Vault,Norway,USA,USA
1900,Athletics,Athletics Men's Shot Put,USA,USA,USA
1900,Athletics,Athletics Men's Standing High Jump,USA,USA,USA
1900,Athletics,Athletics Men's Standing Long Jump,France,USA,USA
1900,Athletics,Athletics Men's Standing Triple Jump,USA,USA,USA
1900,Athletics,Athletics Men's Triple Jump,USA,USA,USA
1900,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta,Data Missing,Data Missing,Spain
1900,Cricket,Cricket Men's Cricket,Data Missing,France,UK
1900,Croquet,Croquet Mixed Doubles,Data Missing,Data Missing,France
1900,Croquet,"Croquet Mixed Singles, One Ball",France,France,France
1900,Croquet,"Croquet Mixed Singles, Two Balls",France,France,France
1900,Cycling,Cycling Men's 25 kilometres,France,UK,France
1900,Cycling,Cycling Men's Points Race,France,Germany,Italy
1900,Cycling,Cycling Men's Sprint,USA,France,France
1900,Equestrianism,Equestrianism Mixed Four-In-Hand Competition,France,France,Belgium
1900,Equestrianism,Equestrianism Mixed Hacks And Hunter Combined,France,France,France
1900,Equestrianism,Equestrianism Mixed High Jump,Belgium,Data Missing,France
1900,Equestrianism,"Equestrianism Mixed Jumping, Individual",France,Belgium,Belgium
1900,Equestrianism,Equestrianism Mixed Long Jump,France,Italy,Belgium
1900,Fencing,"Fencing Men's Foil, Individual",France,France,France
1900,Fencing,"Fencing Men's Foil, Masters, Individual",France,France,France
1900,Fencing,"Fencing Men's Sabre, Individual",Austria,France,France
1900,Fencing,"Fencing Men's Sabre, Masters, Individual",Austria,Italy,Italy
1900,Fencing,"Fencing Men's epee, Individual",France,France,Cuba
1900,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",France,Cuba,France
1900,Fencing,"Fencing Men's epee, Masters, Individual",France,France,France
1900,Football,Football Men's Football,Belgium,France,UK
1900,Golf,Golf Men's Individual,UK,UK,USA
1900,Golf,Golf Women's Individual,USA,USA,USA
1900,Gymnastics,Gymnastics Men's Individual All-Around,France,France,France
1900,Polo,Polo Men's Polo,France,France,UK
1900,Rowing,Rowing Men's Coxed Eights,Netherlands,Belgium,USA
1900,Rowing,Rowing Men's Coxed Fours,Germany,France,France
1900,Rowing,Rowing Men's Coxed Pairs,France,France,Netherlands
1900,Rowing,Rowing Men's Single Sculls,UK,France,France
1900,Rugby,Rugby Men's Rugby,Data Missing,UK,France
1900,Sailing,Sailing Mixed 0-0.5 Ton,France,France,France
1900,Sailing,Sailing Mixed 0.5-1 Ton,France,France,France
1900,Sailing,Sailing Mixed 1-2 Ton,France,France,Germany
1900,Sailing,Sailing Mixed 10-20 Ton,UK,France,France
